sample_id	cluster	mean_posterior_prevalence	standard_deviation_of_posterior_prevalence
left_ovary_site_1	0	0.846268584078	0.0364852675775
left_ovary_site_1	1	0.010395689785600001	0.01025981565
left_ovary_site_1	2	0.0103380738973	0.0102316425652
left_ovary_site_1	3	0.010395689783799998	0.0102598156492
left_ovary_site_1	4	0.07936561708810001	0.027342732047000003
left_ovary_site_1	5	0.0103748730645	0.0102496459826
left_ovary_site_1	6	0.0120017206632	0.011014935640399999
left_ovary_site_1	7	0.0104835116458	0.0103026043319
left_ovary_site_1	8	0.0103762399936	0.010250314096200001
left_ovary_site_2	0	0.462153877611	0.050182184114100005
left_ovary_site_2	1	0.015901247004	0.0125910564362
left_ovary_site_2	2	0.156625657579	0.0365821211654
left_ovary_site_2	3	0.0159055598441	0.012592736240700002
left_ovary_site_2	4	0.164156249566	0.0372836565239
left_ovary_site_2	5	0.09436223915400001	0.029424129139200002
left_ovary_site_2	6	0.0284746796435	0.0167410896928
left_ovary_site_2	7	0.052174371563400004	0.022383091754900004
left_ovary_site_2	8	0.0102461180347	0.0101360914949
omentum_site_1	0	0.0104693528594	0.010358882046
omentum_site_1	1	0.519725982852	0.05084755853759999
omentum_site_1	2	0.0538818268207	0.022979056477200003
omentum_site_1	3	0.16612885411800002	0.03788003332
omentum_site_1	4	0.0425508731167	0.020542364741599997
omentum_site_1	5	0.0292219298742	0.0171416557884
omentum_site_1	6	0.15705554752599998	0.0370309167241
omentum_site_1	7	0.010491686836800001	0.0103698082894
omentum_site_1	8	0.0104739459969	0.0103611300856
omentum_site_2	0	0.010401925153299999	0.010294017932600001
omentum_site_2	1	0.354564400174	0.04853696979180001
omentum_site_2	2	0.25461319335	0.04420078068180001
omentum_site_2	3	0.1637149175	0.0375422190294
omentum_site_2	4	0.0833208526728	0.028040397523400002
omentum_site_2	5	0.0646767751206	0.024954775957200002
omentum_site_2	6	0.047861496797000004	0.0216591714671
omentum_site_2	7	0.010439569244100002	0.010312431753399999
omentum_site_2	8	0.010406869987999999	0.0102964386861
right_ovary_site_1	0	0.0213091440915	0.014635368197600002
right_ovary_site_1	1	0.047582456330300005	0.021574215211900002
right_ovary_site_1	2	0.34188934816100003	0.0480717718375
right_ovary_site_1	3	0.283466009826	0.0456737613358
right_ovary_site_1	4	0.09665125515280001	0.029945347447900002
right_ovary_site_1	5	0.0976593520353	0.0300843106513
right_ovary_site_1	6	0.0188248222938	0.013773255485700001
right_ovary_site_1	7	0.0313307605399	0.017655137635599998
right_ovary_site_1	8	0.06128685156909999	0.024307930766599997
